"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","09-Nov-2011","        883.70","        890.05","        892.65","        861.15","        864.25","        864.95","        877.66","    2666312","          2340127579.65","      58923"
"RELIANCE","EQ","11-Nov-2011","        864.95","        859.00","        888.80","        850.10","        887.80","        885.35","        868.89","    4969253","          4317720129.45","     112330"
"RELIANCE","EQ","14-Nov-2011","        885.35","        891.40","        896.00","        873.00","        873.60","        876.70","        887.05","    3656473","          3243492371.35","      86923"
"RELIANCE","EQ","15-Nov-2011","        876.70","        871.00","        878.00","        856.25","        857.90","        861.45","        868.12","    2262503","          1964113039.80","      63435"
"RELIANCE","EQ","16-Nov-2011","        861.45","        859.10","        859.10","        837.35","        853.95","        848.10","        846.91","    3043186","          2577310792.25","      80467"
"RELIANCE","EQ","17-Nov-2011","        848.10","        845.05","        848.65","        806.25","        807.00","        809.95","        825.29","    5538055","          4570516180.75","     144793"
"RELIANCE","EQ","18-Nov-2011","        809.95","        800.30","        811.95","        787.00","        809.95","        808.10","        796.95","    4958044","          3951299004.50","     123229"
"RELIANCE","EQ","21-Nov-2011","        808.10","        800.00","        800.00","        781.50","        788.55","        786.35","        787.84","    4049501","          3190357678.00","      99527"
"RELIANCE","EQ","22-Nov-2011","        786.35","        788.10","        804.45","        786.60","        795.00","        795.20","        795.93","    4382352","          3488058540.70","      91512"
"RELIANCE","EQ","23-Nov-2011","        795.20","        789.90","        789.90","        755.80","        775.00","        773.40","        771.24","    5419769","          4179922387.60","     135597"
"RELIANCE","EQ","24-Nov-2011","        773.40","        775.00","        778.00","        753.15","        775.15","        773.15","        765.19","    6367715","          4872489627.20","     144727"
"RELIANCE","EQ","25-Nov-2011","        773.15","        769.70","        771.25","        751.00","        751.70","        753.80","        761.33","    3699725","          2816712588.55","     106949"
"RELIANCE","EQ","28-Nov-2011","        753.80","        765.00","        785.80","        762.55","        784.25","        783.80","        775.38","    2522069","          1955558026.05","      68490"
"RELIANCE","EQ","29-Nov-2011","        783.80","        782.00","        782.00","        759.15","        761.10","        765.00","        766.74","    4803440","          3682977071.35","     112512"
